ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5日均线
301027.SZ,20220429,27.05,29.88,26.3,28.87,26.76,2.11,7.8849,176089.52,496831.051,27.672
301027.SZ,20220428,25.14,27.31,25.11,26.76,27.92,-1.16,-4.1547,168815.29,442778.31,27.032
301027.SZ,20220427,29.3,30.7,26.2,27.92,28.36,-0.44,-1.5515,208048.15,594708.775,26.798
301027.SZ,20220426,25.48,31.69,24.6,28.36,26.45,1.91,7.2212,208715.63,583917.707,26.274
301027.SZ,20220425,24.05,27.88,23.92,26.45,25.67,0.78,3.0386,146874.75,382856.663,25.534
301027.SZ,20220422,24.82,28.58,24.81,25.67,25.59,0.08,0.3126,153272.98,403392.078,24.804
301027.SZ,20220421,25.31,25.85,24.01,25.59,25.3,0.29,1.1462,108119.81,270240.453,24.37
301027.SZ,20220420,24.5,25.65,24.13,25.3,24.66,0.64,2.5953,119354.89,298545.306,24.384
301027.SZ,20220419,22.9,24.7,22.52,24.66,22.8,1.86,8.1579,113656.79,269228.171,24.088
301027.SZ,20220418,23.08,23.43,22.65,22.8,23.5,-0.7,-2.9787,66753.08,153489.386,24.232
301027.SZ,20220415,24.96,25.22,23.36,23.5,25.66,-2.16,-8.4178,102989.38,248210.818,24.804
301027.SZ,20220414,24.02,26.3,24.02,25.66,23.82,1.84,7.7246,135092.81,340343.153,25.656
301027.SZ,20220413,25.22,25.55,23.5,23.82,25.38,-1.56,-6.1466,126667.24,309180.933,25.15
301027.SZ,20220412,24.57,26.98,24.52,25.38,25.66,-0.28,-1.0912,162666.91,418232.629,24.906
301027.SZ,20220411,28.81,30,25.11,25.66,27.76,-2.1,-7.5648,232184.93,645480.233,24.33
301027.SZ,20220408,23.94,27.76,23.94,27.76,23.13,4.63,20.0173,173775.61,473328.662,23.894
301027.SZ,20220407,22.43,23.73,21.7,23.13,22.6,0.53,2.3451,88562.63,203565.28,23.074
301027.SZ,20220406,22.06,22.79,21.98,22.6,22.5,0.1,0.4444,51708.04,116197.824,22.996
301027.SZ,20220401,23,23.66,22.5,22.5,23.48,-0.98,-4.1738,67654.74,154720.391,23.172
301027.SZ,20220331,24.18,24.78,23.45,23.48,23.66,-0.18,-0.7608,102616.01,247183.226,23.472
301027.SZ,20220330,22.87,24.06,22.63,23.66,22.74,0.92,4.0457,90426.23,212526.57,24.04
301027.SZ,20220329,23.26,23.5,22.34,22.74,23.48,-0.74,-3.1516,73478.44,167019.798,24.316
301027.SZ,20220328,23.21,23.89,22.66,23.48,24,-0.52,-2.1667,82077.93,191559.408,24.88
301027.SZ,20220325,25.79,26.6,24,24,26.32,-2.32,-8.8146,138960.47,351708.551,25.68
301027.SZ,20220324,26,28.63,26,26.32,25.04,1.28,5.1118,200135.87,541065.997,26.63
301027.SZ,20220323,25.48,25.86,24.83,25.04,25.56,-0.52,-2.0344,93336.54,235398.595,26.158
301027.SZ,20220322,26.57,26.85,25.09,25.56,27.48,-1.92,-6.9869,148411.63,382507.781,25.882
301027.SZ,20220321,28.99,29.25,26.33,27.48,28.75,-1.27,-4.4174,232762.67,641678.919,25.316
301027.SZ,20220318,23.42,28.75,23.21,28.75,23.96,4.79,19.9917,244166.17,648059.962,24.114
301027.SZ,20220317,24.4,24.78,23.11,23.96,23.66,0.3,1.268,136683.36,325841.952,22.808
301027.SZ,20220316,23,23.84,22.11,23.66,22.73,0.93,4.0915,109953.07,252740.274,22.906
301027.SZ,20220315,21.4,24.69,21.22,22.73,21.47,1.26,5.8687,142297.04,327716.15,23.088
301027.SZ,20220314,21.56,22.69,21.33,21.47,22.22,-0.75,-3.3753,68624.54,151085.889,23.164
301027.SZ,20220311,23.69,23.7,21.26,22.22,24.45,-2.23,-9.1207,115983.32,257642.066,23.398
301027.SZ,20220310,24.1,25.45,23.73,24.45,24.57,-0.12,-0.4884,148342.89,364048.974,23.374
301027.SZ,20220309,22.86,24.98,22.5,24.57,23.11,1.46,6.3176,153475.33,369142.641,23.09
301027.SZ,20220308,22.5,23.65,22.06,23.11,22.64,0.47,2.076,107780.8,247522.799,22.94
301027.SZ,20220307,22.22,23.09,22,22.64,22.1,0.54,2.4434,73150.62,165126.736,23.108
301027.SZ,20220304,23.04,23.13,22,22.1,23.03,-0.93,-4.0382,63989.76,143566.262,23.21
301027.SZ,20220303,23.7,23.95,22.78,23.03,23.82,-0.79,-3.3165,70488.9,163780.202,23.412
301027.SZ,20220302,23.78,24.28,23.28,23.82,23.95,-0.13,-0.5428,79112.92,187906.669,23.288
301027.SZ,20220301,23.3,24.2,22.57,23.95,23.15,0.8,3.4557,98786.98,233636.6,23.69
301027.SZ,20220228,23.33,23.88,22.74,23.15,23.11,0.04,0.1731,67279.03,155663.113,24.328
301027.SZ,20220225,22.8,23.81,22.71,23.11,22.41,0.7,3.1236,96606.13,224548.547,25.022
301027.SZ,20220224,25,25.4,21.8,22.41,25.83,-3.42,-13.2404,146452.8,348571.949,25.592
301027.SZ,20220223,27.9,27.9,24.88,25.83,27.14,-1.31,-4.8268,138946.09,358129.591,26.59
301027.SZ,20220222,26.05,28.46,25.8,27.14,26.62,0.52,1.9534,154158.92,419564.852,27.772
301027.SZ,20220221,25.81,26.98,25.4,26.62,25.96,0.66,2.5424,125013.03,330095.269,27.634
301027.SZ,20220218,25.44,27.38,25.4,25.96,27.4,-1.44,-5.2555,150260.79,392969.051,27.604
301027.SZ,20220217,30,30.36,27,27.4,31.74,-4.34,-13.6736,222803.1,641372.273,27.566
301027.SZ,20220216,26.49,31.74,25.24,31.74,26.45,5.29,20,243691.63,684403.489,27.58
301027.SZ,20220215,25.91,28.67,24.58,26.45,26.47,-0.02,-0.0756,196462.36,525199.947,26.392
301027.SZ,20220214,24.7,27.8,24.53,26.47,25.77,0.7,2.7163,187975.55,494197.073,25.998
301027.SZ,20220211,25,26.86,24.63,25.77,27.47,-1.7,-6.1886,206864.16,531663.581,24.784
301027.SZ,20220210,25.87,27.5,24.51,27.47,25.8,1.67,6.4729,264518.57,679913.427,23.03
301027.SZ,20220209,26.9,28.77,25.12,25.8,24.48,1.32,5.3922,275323.38,727038.353,20.914
301027.SZ,20220208,21.25,24.48,21.22,24.48,20.4,4.08,20,227562.11,531959.5,19.324
301027.SZ,20220207,17.3,20.4,17.11,20.4,17,3.4,20,125977.68,248642.147,17.798
301027.SZ,20220128,17.24,17.48,16.95,17,16.89,0.11,0.6513,22446.36,38585.338,17.326
301027.SZ,20220127,17.85,17.85,16.89,16.89,17.85,-0.96,-5.3782,30319.07,52247.507,17.686
301027.SZ,20220126,17,18.18,16.6,17.85,16.85,1,5.9347,50885.73,89068.409,18.01
